merchant,category
29062f849f,Low Volume
290765181e,Low Volume
2908b09fa6,Average
2909b4c960,Average
290db82786,Average
2914bdd955,Average
292578ceee,Average
29328253ff,Average
29343d5bb3,High Vol: Low Tx Amount + High Freq
2935b3f49e,Average
2935fee53c,Average
2939391cfb,Single Tx
293bd28a01,Average
293beafa72,Low Volume
294186aab6,High Vol: High Tx Amount + Low Freq
29432b5d30,Single Tx
29434aa6f4,Single Tx
2947a7dc5d,Average
294b85a190,Average
294bcf4756,Single Tx
29509790f7,Average
2951347ae5,Low Volume
29560d183b,Average
295e8d8d36,Low Volume
2969c7c3ab,Very Low Volume
296c24a213,Average
296d81f939,Average
296f4a78d6,Low Volume
29726f8289,Average
297272195d,Average
2972a5a41d,Average
29747cc043,Average
29805d997e,Average
2980a9aa95,Average
2981c6a0f0,Average
29892bc4f6,Very High Volume
298db3d09a,Average
2997503d11,Average
299d8a4f3e,Average
29a1e70c2a,Average
29a9c5891b,Very Low Volume
29aa8889c4,High Vol: Low Tx Amount + High Freq
29acc354cf,Very Low Volume
29af7e07f3,Single Tx
29b0ac2c4c,Average
29b9481df5,High Vol: Low Tx Amount + High Freq
29bce08a67,Average
29be0b85fe,Very Low Volume
29c3f2c631,High Vol: High Tx Amount + Low Freq
29c54bf424,Low Volume
29c9cc11d5,Average
29cef26186,Very Low Volume
29d7c3ba63,Average
29dc818559,Average
29dcd9268f,Average
29de4a4959,Average
29e0d4680d,High Vol: High Tx Amount + Low Freq
29e5ec8fb5,Average
29e781d33d,Very Low Volume
29eeb70dee,Low Volume
29f409d99f,Low Volume
29f7ac8ef4,Very High Volume
29fc0b5c69,Single Tx
2a03ad4deb,Low Volume
2a06c25644,Average
2a0a5d0365,Average
2a0e1ebc40,Average
2a15a10fb3,Single Tx
2a1cc53ef4,Average
2a1cf4ff5b,Average
2a1d5b4246,Low Volume
2a1e320a8b,Low Volume
2a1e976511,Average
2a21e8f6d2,Single Tx
2a26c058f0,Average
2a29e49033,Average
2a3b3a0572,Average
2a3bbac8da,Average
2a3c502ab3,Average
2a3fc46c56,Average
2a4f497a3e,Average
2a55ddf4b8,Average
2a5cb06d85,Very Low Volume
2a5d1a7606,Average
2a5db24c27,Average
2a645eee1d,Low Volume
2a64a13c68,Average
2a659c2b7d,Average
2a65d4d476,Very Low Volume
2a6ab3e708,Average
2a6f295cc2,Average
2a70f1772c,Very Low Volume
2a73baea00,Average
2a7bd2e74a,Average
2a7f845404,Low Volume
2a842559b6,Average
2a84aa68eb,Average
2a8a4dd4c0,Average
2a8bfb6cd8,Average
2a9401c788,Average
2a96983b41,Average
2aa2a669a2,Low Volume
2aa8bec799,Average
2aaba9f539,Average
2aaea2c908,Low Volume
2aaee40c91,Low Volume
2ab23a6f57,Average
2ab6e27b0f,Very Low Volume
2abdbf6aac,Very High Volume
2ac444e194,Average
2ac7db0290,Average
2ac8f262f4,Average
2ad6b47fe0,Average
2ad7fa0e28,Average
2ae865744b,Average
2aea7a50fe,High Vol: Low Tx Amount + High Freq
2aebde2fe9,Average
2aeda1760e,Single Tx
2af0224de0,Very Low Volume
2af1e0c5cd,Single Tx
2afbb989fa,Low Volume
2b012e52b5,Average
2b16e08d54,Average
2b1916cdb6,Average
2b1b75b8f7,Very Low Volume
2b1e3f6101,Average
2b210b319e,Low Volume
2b2149782b,Single Tx
2b31787a91,Low Volume
2b33b5463b,Average
2b343f5d63,Average
2b3a7828d4,Average
2b3de6887a,Low Volume
2b3e21998d,Single Tx
2b4533f1ac,Low Volume
2b453f5feb,Low Volume
2b4b892ec5,Average
2b4c5b20e8,Average
2b502045c8,Average
2b50f1c671,Average
2b593571b5,High Vol: High Tx Amount + Low Freq
2b5a1bb133,Average
2b5da1ab97,Low Volume
2b5e5f7364,High Vol: High Tx Amount + Low Freq
2b6029b184,Average
2b6156f7d9,Average
2b666b2e53,Low Volume
2b66f8eeca,Single Tx
2b6bb1f29d,Very Low Volume
2b6be00c32,Very Low Volume
2b72a6326a,Very Low Volume
2b7c2b8fb0,Average
2b7e01b4f6,Average
2b7e976e97,Low Volume
2b888be17b,Average
2b8b7d83e0,High Vol: Low Tx Amount + High Freq
2b8ccf3d49,Average
2b9199a6c5,Average
2b9a9e0462,Very Low Volume
2b9e10a1dc,Average
2ba34db48b,High Vol: High Tx Amount + Low Freq
2ba39e3a57,Single Tx
2ba9d21dcc,Average
2baf81d845,Average
2bb1d4977c,Average
2bbba92a47,Average
2bc4805617,Average
2bc54bfc98,Average
2bc92ab7ae,Low Volume
2bca564a4e,Very Low Volume
2bcbfaf7e6,High Vol: Low Tx Amount + High Freq
2bd468d9fe,Average
2bdb8e9f5e,Average
2be1d4b0d9,Low Volume
2be2836ef3,Average
2be5cb35f3,Average
2be83e86a0,Average
2beb327e14,Average
2bec8a510d,Average
2bef6b714c,Single Tx
2bf6d1f36d,Average
2bf8caa90a,Average
2bff714fe7,Average
2c03f43e2a,High Vol: High Tx Amount + Low Freq
2c05a227ea,Average
2c0ee41200,Single Tx
2c11367313,Average
2c117c2db5,Average
2c15b2a577,Low Volume
2c1e73c57c,Average
2c27b31d03,Average
2c28cd4916,High Vol: High Tx Amount + Low Freq
2c2c731ef8,Average
2c328165ea,High Vol: Low Tx Amount + High Freq
2c35f13061,High Vol: High Tx Amount + Low Freq
2c3643a82c,Average
2c365b0535,Average
2c39b43877,Average
2c39ef0c36,Very Low Volume
2c3e83b214,Average
2c4046e62a,Average
2c40a7f189,Low Volume
2c43be596a,Low Volume
2c4c202cb8,Average
2c4ee84da8,Single Tx
2c50b8a385,Average
2c588a7288,Low Volume
2c5bc78d1d,Single Tx
2c5d841ab9,High Vol: High Tx Amount + Low Freq
2c5db9e2e2,Average
2c5e54ea2f,High Vol: Low Tx Amount + High Freq
2c62b0d6e5,Average
2c65e63cb2,Low Volume
2c6653e41b,Single Tx
2c6f4e96a9,Single Tx
2c7bf0973d,Very Low Volume
2c7d548025,Very Low Volume
2c82e679c1,Average
2c8a44fc99,Average
2c93cf38f4,Average
2c948f7db7,Average
2c955da84b,Average
2c9614dbe7,Average
2ca115cd7f,Average
2ca529bf81,Very Low Volume
2ca716bc16,Very Low Volume
2cacf58892,Low Volume
2cad013b14,Single Tx
2cae5f9b68,Average
2cbfdb71c3,Very Low Volume
2cc274e632,Average
2cca3ab222,Very Low Volume
2ccc5ea050,High Vol: Low Tx Amount + High Freq
2cd21127de,Low Volume
2cd24e4933,Average
2cda42124e,Average
2cdfae4599,Average
2cef12e546,Average
2cf437d4b7,Average
2cf622f059,Average
2cf63636b3,Average
2d00991bcd,Average
2d00b12e3d,Average
2d0459034b,High Vol: Low Tx Amount + High Freq
2d0e54608d,Single Tx
2d0ededfd2,Average
2d0ef4558f,Single Tx
2d1aac76db,Low Volume
2d1e97971b,Average
2d1f4646ad,Average
2d22802583,Very Low Volume
2d2671e92c,Single Tx
2d27bc5d38,Average
2d2a9f1c88,Average
2d2c0ad3e4,Single Tx
2d2c9af3b3,Average
2d2e6ac53b,High Vol: High Tx Amount + Low Freq
2d332a31b7,Average
2d3401dba0,Single Tx
2d342e9170,Average
2d4310ab2f,Single Tx
2d4760dec9,High Vol: High Tx Amount + Low Freq
2d4bb465ee,Average
2d4c00a4cd,Average
2d54b29c0b,Average
2d55726b06,Average
2d5727657b,Low Volume
2d5741b844,Average
2d5bf98127,High Vol: High Tx Amount + Low Freq
2d5c822138,High Vol: Low Tx Amount + High Freq
2d637c25a3,Average
2d6a516f82,Average
2d6ad7c083,Very Low Volume
2d6c309c6e,Average
2d6fd1f081,Average
2d925bc160,Low Volume
2d988d41bf,Single Tx
2d99c2f0b3,Average
2daa76b616,Average
2dac5a225b,Single Tx
2dacbe99c3,Single Tx
2daf9c203c,Average
2dbd21cf41,High Vol: High Tx Amount + Low Freq
2dbd40dd8a,Average
2dc77c26d3,Very Low Volume
2dd75d2018,Average
2ddc05f489,High Vol: Low Tx Amount + High Freq
2de13de737,Single Tx
2de14bc03c,Single Tx
2de5930873,Low Volume
2de735d1a6,Single Tx
2deaf1c8f8,Low Volume
2deb7d04da,Low Volume
2df0cc3b9b,Single Tx
2df17036b7,Average
2df55449f2,Average
2df63c28b6,Single Tx
2df70be39a,Average
2df75ebf35,Average
2df7f33d54,Average
2dfc7e8f64,Average
2e00fe05b3,Average
2e0a766bd5,Average
2e11664769,Average
2e188e288b,Average
2e1c904cef,Very Low Volume
2e23b573d8,Average
2e327f5ff5,Low Volume
2e363fb57b,Very High Volume
2e37fb8729,Average
2e3b160b42,Average
2e3b9ab140,Average
2e3cdbac0d,Very Low Volume
2e44e059c6,Very Low Volume
2e4a2ef020,Average
2e51a37968,Average
2e6443416f,Low Volume
2e6d3b212a,Average
2e70657be9,Average
2e78891a9c,Average
2e7dd36b46,Single Tx
2e89493975,Low Volume
2e8b7a52a1,Average
2e8c6b9849,Average
2e921dc241,High Vol: Low Tx Amount + High Freq
2e93f29aa9,Average
2e9bcb1d73,Average
2e9c6ac7b3,Average
2e9fc1267a,Low Volume
2ea4ecb1b3,Average
2ea96d36cb,Low Volume
2eab77afb1,Average
2eb84a3cf6,Average
2ec1ab95d8,Average
2ec1b5cc93,Average
2ec2f5aae9,Low Volume
2ec7e5d66d,Single Tx
2ec9752c7f,Average
2ecc1eecc4,Average
2ed20480bd,Average
2ed512d435,Low Volume
2ed763715b,Low Volume
2ed76f6791,Low Volume
2ed7eef12b,Average
2ed8bab70f,Average
2ed961beb9,Low Volume
2edfc48fe1,Average
2ee2608106,High Vol: Low Tx Amount + High Freq
2ee3249f84,Average
2ee83ab287,Average
2ef0c8b74f,Low Volume
2ef7b235b6,Average
2ef81adcef,Single Tx
2efd45ec55,High Vol: High Tx Amount + Low Freq
2f0288df22,Low Volume
2f029f0f6f,Single Tx
2f0427cb55,Average
2f0c5297c8,Very Low Volume
2f0d36d32a,Low Volume
2f0fd8afe8,High Vol: High Tx Amount + Low Freq
2f12f0f64f,Average
2f13fc6271,Average
2f1577bd0c,Average
2f15faf4f2,Low Volume
2f272b04a6,Average
2f2ad6ee0c,Average
2f2b2061d5,Low Volume
2f2d7dacc3,Average
2f35eb3d42,Single Tx
2f38c78081,Average
2f3deed796,Low Volume
2f3fd2b5a3,Average
2f42d2b4b6,Low Volume
2f43461f8f,Average
2f4df3574a,Average
2f5632d2e5,Average
2f56fb05ee,High Vol: Low Tx Amount + High Freq
2f582857dc,Average
2f59500f1f,High Vol: High Tx Amount + Low Freq
2f5b48e9d4,Low Volume
2f5d23d8b6,Single Tx
2f5e23962e,Average
2f601cbee3,Average
2f6c09acf4,Average
2f74911201,Average
2f7974abb5,High Vol: High Tx Amount + Low Freq
2f95149dc3,Average
2f98606b9f,Single Tx
2fa0dc41be,Average
2fa948c103,High Vol: High Tx Amount + Low Freq
2fb19fbf28,Average
2fb249effb,Average
2fb6d7d5df,Average
2fba0db04f,Average
2fc28f53d5,Average
2fc5b02b01,Average
2fc6be0502,Very Low Volume
2fcb84596f,Single Tx
2fcbdedf64,Average
2fd5745d78,High Vol: High Tx Amount + Low Freq
2fd7f8924a,Average
2fe418b25f,Average
2fe61f2aa1,Average
2fe6d60bd3,Average
2ff1832511,Average
2ff5c181ea,Low Volume
2fffcad178,Average
3.04E+08,Average
3.05E+15,Average
3.08E+09,Low Volume
3.11E+40,Average
3.52E+08,High Vol: Low Tx Amount + High Freq
3.53E+11,Average
3002241ac4,Average
3005aa8fa9,Average
3006924744,Average
3008a4de59,High Vol: Low Tx Amount + High Freq
300a7d3d15,Average
300d18d413,Average
30118d88be,Average
3013bc2952,Very Low Volume
30141d8295,Average
301aa54428,Average
301e970da4,Average
3020b0bfdc,Average
3021bcae5a,Single Tx
302c9f9ac8,Low Volume
302f912cbd,Single Tx
3031d6176d,Average
303603b0d2,Very Low Volume
30367ad793,Average
303ce668cd,Average
303cf26af4,Average
304b10efef,High Vol: High Tx Amount + Low Freq
304c3ff806,Low Volume
304df9ba36,Average
305d526415,Low Volume
306084a837,Average
3066179068,Average
306f75d425,Single Tx
307403a51e,Average
3074e78fa4,Average
3075f1b861,Average
3079a6bf7f,Very High Volume
307bdf4b1f,Average
308218452b,Average
308b75b8c2,Average
308ba5a340,Average
308dcfa13b,Very Low Volume
3095cf0d65,Single Tx
30986e2424,Average
309d9fb2f5,Average
309de2d8a2,Average
309f511e8d,Single Tx
30a2be5ff3,Low Volume
30a41e3eef,Average
30a442014b,Average
30a5ec01aa,Average
30a6268376,Average
30a7317b8c,Very Low Volume
30a871e564,Average
30ae722c1a,Average
30b4d2db6e,Average
30b5530780,Single Tx
30b6f0ba62,Average
30be7316f9,Average
30bf166d67,Single Tx
30bfb965e2,Average
30c6ae8b0a,Very Low Volume
30cca6e792,Average
30d0e9773d,Average
30d7d4efa3,Very Low Volume
30dda88413,Average
30de3223aa,Average
30e48fa58b,Low Volume
30e6bc15f7,Average
30e98e8e2e,Average
30ee9618e7,Average
30f0abb999,Low Volume
30f217ce3c,High Vol: High Tx Amount + Low Freq
30f32bb8c7,Average
30f61133c5,Average
30f669cd42,Very Low Volume
30fdde16ae,Average
30ff66e18d,Average
311360214b,Average
3117b68e0b,Average
311db071ab,Average
3122e28e80,Single Tx
312754b077,Very Low Volume
3129236710,Average
312a3f6129,Very Low Volume
312e90b32f,Average
3135d020cc,Average
313a1b3626,Average
314123339,Very Low Volume
31438608d4,Average
31469e1e8c,Average
3148119aeb,Average
3149abc5a9,Average
314a25c50d,Single Tx
314cff8e5d,Single Tx
314ea3d710,Single Tx
314f8e63f3,Average
3150099301,Average
3151257bb9,Average
3153ebf7ab,Average
3154e54294,Low Volume
3155f5acff,High Vol: High Tx Amount + Low Freq
315bc0de43,Average
3163419462,Average
31692f6f30,Average
3169e6408e,Single Tx
31758646ad,Average
318383fdb0,Very Low Volume
3185f6be97,Low Volume
3186c925f9,Single Tx
318d384dd1,Average
3191160f13,Average
31a11b7e9b,Average
31a238581a,Single Tx
31a43c49d8,Single Tx
31ac74d76f,High Vol: High Tx Amount + Low Freq
31b79a0ad7,Average
31c7ad2bd9,Average
31c93215e7,Average
31c9f3e806,Average
31cab9a84b,Average
31cb0a5ae1,Single Tx
31cb4b7889,High Vol: Low Tx Amount + High Freq
31d9e7f62b,Single Tx
31dadf945b,Average
31ddb15367,Average
31de3181d7,Average
31e3127c61,Single Tx
31e355008d,Low Volume
31ebe2c24a,Very Low Volume
31ebf617f7,Average
31f3080baa,Average
31f848633e,Average
31f9e8cd8c,Average
31feb650dd,Average
3201a15d7a,Single Tx
320254b430,Average
32048e38b4,Low Volume
320804848a,Very Low Volume
32086f8404,Average
320a4bec27,High Vol: High Tx Amount + Low Freq
3212205de3,Low Volume
3217fa0b8e,Single Tx
321a2cd046,Low Volume
321c690172,Low Volume
321fca952e,Average
3225dc5644,Very Low Volume
322cd65ebd,Average
322d36300a,Low Volume
32361211d9,Average
3236bc2ff3,Average
32394c669e,Low Volume
323a84137b,Average
323ca85d3f,Single Tx
323de9c50a,Average
323f0585a2,Average
32438be016,Very Low Volume
3243f6984a,Very Low Volume
32465ba14b,Average
3248d6b192,Average
324afd9691,Average
325fa26e4b,Average
326c344c9f,Average
326f3875cf,Single Tx
3271ac6cec,Average
327c3afe72,Average
327d1364fb,High Vol: High Tx Amount + Low Freq
327e83bf86,Average
3286b11b11,Average
328b3e0836,Average
328cd052c1,Average
328d3f06f5,Single Tx
328f3999af,Low Volume
32945c8a75,Average
329478845e,Low Volume
329f63f580,Average
32a5758f7f,Single Tx
32acddd6cc,High Vol: Low Tx Amount + High Freq
32af7d4091,High Vol: Low Tx Amount + High Freq
32b0fc3feb,Average
32b15c5edc,Average
32b2e23d41,Average
32b7e4871a,Average
32bea456da,Single Tx
32c58ed504,Average
32c5df061a,Low Volume
32c65e7b30,Average
32c922fbc6,Very Low Volume
32c974d7b5,Average
32cb75f6e7,High Vol: High Tx Amount + Low Freq
32cd721943,Average
32d2c72105,Low Volume
32d7a36a27,Average
32e85e029f,High Vol: Low Tx Amount + High Freq
32e95e62dd,Low Volume
32e9f00212,Low Volume
32f4a7ed54,Average
32f89ef058,Average
32fdde2100,Average
32fdf2966c,Average
3315c72ac4,Single Tx
3316a9447a,Average
3317a99c8e,High Vol: Low Tx Amount + High Freq
331aac97b5,Average
331f6cf0a2,Low Volume
33221cd2a5,Average
33222c262e,Average
33251345a4,Average
33285883bc,High Vol: Low Tx Amount + High Freq
332999a205,Low Volume
3333e157d2,Low Volume
3334489912,Average
3336d5119e,Single Tx
333859999b,High Vol: High Tx Amount + Low Freq
3339c44baa,Average
333afcb0c5,Average
333e7979dd,Average
3342edaf37,Low Volume
334324d461,Average
3347a28bfa,Average
3347a98d41,Average
334b003938,Average
334df32d12,Low Volume
334fd83558,Average
335049d0b5,Low Volume
33556ffe0d,Average
3358b4f184,Average
335987fc88,Average
33632bcd58,Low Volume
3364a840de,Average
3366d2e90d,Average
3368d564d0,Average
336e6eb6a3,Low Volume
336e703755,Average
337ee94f10,Average
3382cc9e29,Low Volume
3385a24be1,Average
33895e9a33,Very Low Volume
338d813e1f,Average
338e66698a,Average
3399ee0336,Low Volume
33a112b6dc,High Vol: Low Tx Amount + High Freq
33ab2b45ed,Low Volume
33ae6e4e5b,Average
33b06feb14,Average
33b1e01702,Low Volume
33b2201bf4,Average
33b48c24d8,Average
33b9fa9763,Average
33ba1e9763,Average
33bb83a362,Average
33bcdc3353,Very Low Volume
33be12a6b4,Average
33c1b5a687,Very Low Volume
33c8b94fd6,Average
33cca7c444,Average
33d228c5c9,Average
33d42ba6c3,Very Low Volume
33d882db33,Single Tx
33d90a7165,Very Low Volume
33ddcfbdf4,High Vol: High Tx Amount + Low Freq
33ebb79d06,Average
33ec2c04c5,Single Tx
33ef82f696,Average
33ef91216b,Very Low Volume
33f36f4685,Average
34030aed4e,Single Tx
34034a43c0,Average
34042a00ee,High Vol: Low Tx Amount + High Freq
34061457cb,Average
340660026a,Single Tx
3408ab4829,Low Volume
34131066ce,Average
341a165f9d,Average
341a833aa8,Average
341c9c2da7,Average
341de1ef7d,Average
341e909728,Average
341eef4f16,Very Low Volume
3426f55266,Average
342a863b26,Low Volume
342e5573a1,Average
343647c319,Low Volume
3439f01d09,Single Tx
3446f9bb7e,Low Volume
3447d11ebc,Average
344a85e164,Average
345149e806,Average
34522b3e12,Low Volume
345b363909,High Vol: High Tx Amount + Low Freq
346056b0ef,Low Volume
34639c76f9,High Vol: High Tx Amount + Low Freq
3468ae36b4,High Vol: Low Tx Amount + High Freq
346a0449d4,Average
346bfa0e70,Very Low Volume
346f0f9e57,Low Volume
34763651cd,High Vol: High Tx Amount + Low Freq
348409000c,Average
348518bad6,Single Tx
34853009a9,Average
3485c45fa2,Very Low Volume
3488295fae,Average
348af23da0,High Vol: Low Tx Amount + High Freq
348d89e38f,Very Low Volume
348eab6949,Very Low Volume
349e7e76a2,Average
34a3dd9253,Average
34ab7ec6f8,Single Tx
34ac02c55b,Low Volume
34acc979b7,Low Volume
34aedc0267,Very Low Volume
34b1593bd3,Average
34b48c941f,Average
34bf994d70,Average
34c07db7f0,Low Volume
34c0bca871,High Vol: High Tx Amount + Low Freq
34c0c526c6,Average
34c2954e77,Average
34d2add4c3,Average
34d2b39eeb,Average
34d528386f,Average
34d6c8a8fb,Very Low Volume
34deddb733,Average
34e2dc1280,Single Tx
34e3ccd2d7,Low Volume
34e8340ea8,Average
34eeaac940,Average
34ef480f6b,Single Tx
34efbdfa0c,Average
34f5e055ae,Average
34ffe29f4b,Average
350c682f9a,Very Low Volume
35127cf7a0,Single Tx
3515c6d35c,Single Tx
3518f5c4bf,Average
351deef216,Average
351f14f429,Single Tx
353064ccc9,Average
35332f29e5,Average
353391396b,Average
353611e6e1,Average
354797326f,Average
3547b3b3be,Very Low Volume
355016d5a8,Very Low Volume
35559aa986,Average
3555bce4f3,Average
355a271bb8,High Vol: Low Tx Amount + High Freq
355d091143,Average
355f9a5372,Single Tx
3567d6f135,Average
35683c29ec,Average
357569f603,Average
3575d46a81,Low Volume
3579fcacaf,Low Volume
357b1ba203,Average
357c548053,Very Low Volume
357ecff5b2,Average
357edcbef8,Average
35839eee95,Low Volume
35966354bb,Single Tx
359c116548,Average
359f0de976,Average
35a036a3dd,Single Tx
35a3e5d36f,Average
35af7cbdbe,Average
35b129e21e,High Vol: High Tx Amount + Low Freq
35b4c3a57f,Average
35b6e7340b,Average
35bfdfa90d,Low Volume
35c47e9ae0,Low Volume
35c491f92e,Single Tx
35c7ade709,Average
35da7ab412,Average
35dc069f18,High Vol: High Tx Amount + Low Freq
35dede6301,Average
35f101c661,Average
35f7353876,High Vol: High Tx Amount + Low Freq
36114e1992,Low Volume
3614583787,Average
3614f971b6,Low Volume
361b2418ec,Average
3623d196a2,Very Low Volume
362964a506,Low Volume
36316aaca5,Low Volume
363360c125,Average
3633bae93e,High Vol: High Tx Amount + Low Freq
3639b7c5be,Average
363c572fdc,Single Tx
363ebb8511,Average
3642e57510,Average
36443ffea3,Average
364448bbc2,Low Volume
3656e228ef,Average
3659471288,Low Volume
365d64e6bc,Single Tx
3660bdc172,Average
36654cadc8,Average
36676ecddb,Average
3667f45d8d,Very Low Volume
366ba8e0da,Very High Volume
36745cc693,Very High Volume
3676052956,Low Volume
3677c655ef,Single Tx
367d4f0820,Average
3685750141,Average
3685ed2ccc,Average
36882bec2d,Low Volume
3689ca165b,Low Volume
368b0e7a6e,Very Low Volume
368d9abdfc,Average
368fca2602,Low Volume
369291823f,Average
36941f0bb5,Average
3696668dd3,Average
36ab779f80,Average
36b2fb8dd9,Low Volume
36c97486b3,Average
36ccb6b8be,Average
36d954c229,Average
36f84f94c7,Average
36f94f56a3,Low Volume
36fe55a483,High Vol: High Tx Amount + Low Freq
36fe7b7f42,Single Tx
36ff56dd66,Very Low Volume
3703949418,Single Tx
37047e2d18,Single Tx
3705f47ca2,Average
3708d9f30a,Average
370a91cd56,Low Volume
370ac1ff67,Very Low Volume
37164dcdc0,Average
3717879f74,Single Tx
371d0f8a4e,Very Low Volume
371e19644d,Average
371e76e9a1,Low Volume
371ff5ac71,Average
3721cb8697,Average
372f8f967d,High Vol: Low Tx Amount + High Freq
37363f998c,Single Tx
37475c56bc,Low Volume
375115715e,Average
37557b6532,Average
3755bda51a,Average
375d36823a,High Vol: Low Tx Amount + High Freq
3760d1b3c1,Average
376156858d,Average
3761953ed4,Average
3769a44d73,Average
376b2a2f80,Average
3770d743d4,Average
377255199b,Single Tx
377517afeb,Average
3776ef3b22,Average
3779b1cf35,Very Low Volume
377a5b2969,Very Low Volume
3786ea55db,Average
378bf52b8f,Average
378c9f55ba,Average
37976ac192,Average
3799214b2b,Average
3799e13766,Average
379a7c2dcf,Low Volume
37b09be1a0,Low Volume
37bb60f159,Low Volume
37be02982e,Average
37c3ab6b20,Average
37c5893fe8,Average
37c642fe4c,Single Tx
37ca2bbebe,Average
37dc779476,Average
37dfd1ae57,Average
37dffe5358,Low Volume
37e4158489,Low Volume
37e5fc9e76,Very High Volume
37e7bfcc71,Very Low Volume
37f1a78b88,Low Volume
37f796b8dc,Average
37f88bfa68,Average
37fbb87aa9,Average
37fe8cf4c4,High Vol: Low Tx Amount + High Freq
3802c34114,Single Tx
3808409ddf,Very Low Volume
3810416fd6,Low Volume
3834748386,Very Low Volume
38376f004f,Single Tx
3839c43c25,Single Tx
3840cc1f0b,Low Volume
384fcc1c66,Very Low Volume
385003e9d0,Average
3857c0934e,Average
385ad4a054,Low Volume
38601f09a1,Average
38637f9ced,Average
3866501f02,High Vol: High Tx Amount + Low Freq
386d304c7c,Low Volume
3873e2d413,Low Volume
387a6948c6,Single Tx
387aafbfca,Average
387db6d9b5,Very Low Volume
387f774123,Average
3889007434,High Vol: Low Tx Amount + High Freq
388f277c7d,Average
3897ee1b70,Average
38996e399d,Average
389c5b1d45,Average
389cf669f8,Average
38a2c2bd47,Single Tx
38a63492dc,Average
38aaa21c74,Average
38b11b88ff,Single Tx
38b15060c6,Average
38b501a87f,Average
38b54aaa40,Average
38bd2f596b,Average
38bd9a0776,Average
38bee0368a,Very Low Volume
38d4b53250,Very Low Volume
38dc1e2016,Average
38df646340,Very Low Volume
38ea910a97,Very Low Volume
38eba5a19f,Average
38ec6810b1,Average
38fd31bb0d,Average
390089fd85,Average
3900f96292,Single Tx
39035eb099,Low Volume
3905f06488,Average
39072269f8,Single Tx
39084ae386,Single Tx
3908a59643,Low Volume
3910b89b86,Low Volume
3911f5febf,Average
391456c835,Average
391f509dd2,Low Volume
3926409320,Average
392c6fb230,Average
3932608d23,Average
3933fae008,Low Volume
395394fbc9,Very Low Volume
395eab57c1,Low Volume
395fd04c07,Low Volume
39642f18ea,Low Volume
3965b26662,Single Tx
397257a120,Average
39733dcfbc,Low Volume
39748f9678,High Vol: Low Tx Amount + High Freq
3978c45afe,Average
397afb9ea9,Single Tx
398757b143,Average
398cafdf84,Low Volume
3990d2ffa2,Very Low Volume
3993205359,High Vol: High Tx Amount + Low Freq
3993ed9c65,Average
399863c940,Very Low Volume
399c2aa497,Average
39a3f457ef,Average
39b086793b,Average
39c2f45ad6,Single Tx
39c64ce463,High Vol: High Tx Amount + Low Freq
39d82bc0d1,Very Low Volume
39e0438ced,Average
39f20e3a5b,High Vol: High Tx Amount + Low Freq
39f39ea58f,Single Tx
39f3c398b9,Single Tx
39fb8d6d23,Single Tx
39fbfe3bce,Average
3a06be6612,Average
3a096876dc,Single Tx
3a1b37f643,Low Volume
3a22a28efd,Average
3a279ea303,High Vol: High Tx Amount + Low Freq
3a2c4930f9,Very Low Volume
3a306e8beb,Low Volume
3a3651e13c,Single Tx
3a3a4e4a99,Average
3a3d653712,Low Volume
3a4134890c,Single Tx
3a49ca87fe,Average
3a4a920aa8,Average
3a54ade3d2,Average
3a57fc569e,Average
3a69b83217,Average
3a7e7afa39,Single Tx
3a7f7f6f12,Average
3a8584e7fb,Low Volume
3a87105285,Average
3a8c35ca86,Average
3a9188a90c,Low Volume
3a97359dce,Average
3aa0428bd9,Single Tx
3aabea9ff6,Average
3aae5eea4d,Average
3ab814b792,Average
3ac4708427,Single Tx
3ac72156e4,Low Volume
3ac7fe9e66,Very Low Volume
3acc360177,Single Tx
3adb80b1e9,High Vol: High Tx Amount + Low Freq
3ae1ddef32,Low Volume
3ae33d55eb,Average
3ae543a352,Low Volume
3aea10e70e,Single Tx
3aed0d7c66,Average
3aef1dbfd9,Average
3af6927354,Average
3afdabe91c,Average
3affe2f87b,Average
3b00554ed4,Low Volume
3b03380d37,Very Low Volume
3b0c4a18e4,Average
3b10792a9a,Low Volume
3b10b772e5,High Vol: Low Tx Amount + High Freq
3b15b59a26,Average
3b1bf309ac,Very Low Volume
3b1e0eb6a3,Average
3b21af6481,Average
3b243f8990,Single Tx
3b2521b3ad,Average
3b25a119b6,Average
3b2d486488,Single Tx
3b2fa75c72,Single Tx
3b2fcd25aa,Average
3b329f1651,Single Tx
3b3e1d8d87,Single Tx
3b426757f8,Average
3b46dadaff,Very Low Volume
3b4cc046ee,High Vol: High Tx Amount + Low Freq
3b4d337b10,Average
3b50148a44,Average
3b5b28cf85,Average
3b5bd6e6b4,Low Volume
3b60dfa1d8,Low Volume
3b69da3864,Average
3b6a8d1107,Average
3b6e318e0b,Average
3b712dbec0,Average
3b7777bb5d,Average
3b7d1b8383,Average
3b86d717ed,Average
3b8adcd32f,Average
3b8eaf7a37,Low Volume
3b908be1ef,Average
3b92e9c41e,Average
3b9aa3ca46,Average
3b9fecd671,Average
3ba0a051ed,Average
3ba27317da,Average
3ba822501d,Average
3bacb967d4,Very Low Volume
3bb0ae4cf1,Very Low Volume
3bb1ff53c9,Average
3bb3eb67f3,Average
3bbef4b4d2,Low Volume
3bc070e260,Low Volume
3bc829dd37,Average
3bc8b442fb,Average
